as_of,B12997,B01157,B09833,B06061,B11293,B05947,B13835,B14040,B04313,B11222,B08385,B11999,B02396,B04312,B07347,B13177,B04841,B13086
3/10/2000,14.2834,12.7777,22.1482,10.1184,28.264,12.0646,69.6699,43.4779,53.8016,40.5219,29.8505,14.0567,22.0844,59.6714,12.9006,9.87548,1168.39,86.5332
3/11/2000,14.2834,12.7777,22.1482,10.1184,28.264,12.0646,69.6699,43.4779,53.8016,40.5219,29.8505,14.0567,22.0844,59.6714,12.9006,9.87548,1168.39,86.5332
3/12/2000,14.2834,12.7777,22.1482,10.1184,28.264,12.0646,69.6699,43.4779,53.8016,40.5219,29.8505,14.0567,22.0844,59.6714,12.9006,9.87548,1168.39,86.5332
3/13/2000,14.1389,12.486,22.2194,10.1287,27.6153,11.9133,69.6699,42.734,52.4353,39.4931,29.0521,13.8163,21.9571,58.2845,12.5357,9.83429,1137.51,82.5668
3/14/2000,14.0055,12.1359,22.319,10.0771,26.9524,11.9335,69.6699,42.5357,50.7037,38.0864,28.1304,13.4957,21.9571,56.3692,12.0279,9.81369,1129.39,79.435
3/15/2000,14.2278,11.92,23.1161,10.3969,26.0497,12.0546,69.6699,42.6101,49.892,37.5405,27.4627,13.2652,22.0561,55.6427,11.6947,10.1638,1134.26,76.0972
3/16/2000,14.8836,12.4743,24.2833,11.0879,26.6421,12.4883,69.6699,44.8168,52.3541,38.6743,28.3409,13.5257,22.8625,58.1854,11.9962,10.7611,1178.14,78.0261
3/17/2000,14.6724,12.5035,24.0413,10.9538,26.8537,12.4379,69.6699,45.3003,52.8817,39.2202,28.5368,13.6159,22.8484,58.6147,12.1866,10.6066,1174.89,79.3916
3/18/2000,14.6724,12.5035,24.0413,10.9538,26.8537,12.4379,69.6699,45.3003,52.8817,39.2202,28.5368,13.6159,22.8484,58.6147,12.1866,10.6066,1174.89,79.3916
3/19/2000,14.6724,12.5035,24.0413,10.9538,26.8537,12.4379,69.6699,45.3003,52.8817,39.2202,28.5368,13.6159,22.8484,58.6147,12.1866,10.6066,1174.89,79.3916
