as_of,B12997,B01157,B09833,B06061,B11293,B05947,B13835,B14040,B04313,B11222,B08385,B11999,B02396,B04312,B07347,B13177,B04841,B13086,B00241,B07223,B03193,B15709,B04687,B05548,B05011,B13104,B06753,B08336,B10749,B10612,B14867,B10363,B14965,B09417,B07245,B04762,B12844,B09550,B15851,B14908,B13135,B06850,B00774,B00450,B03777,B05350,B02390,B15191,B06096,B11505
2023-09-16,116.473,65.9236,237.164,39.0399,154.223,134.144,127.157,197.473,192.716,162.125,120.393,96.0239,203.623,229.473,58.7433,116.565,4843.55,225.849,96.8791,495.618,1013.38,86.9536,6080.01,159.409,216.404,169.461,201.227,200.748,121.074,300.83,306.146,125.923,549.525,88.0914,86.4527,139.726,73.431,34.3209,25.2495,69.1989,460.238,190.817,95.6399,43.002,35.2805,89.8984,296.988,42.6094,74.5872,244.122
2023-09-15,116.473,65.9236,237.164,39.0399,154.223,134.144,127.157,197.473,192.716,162.125,120.393,96.0239,203.623,229.473,58.7433,116.565,4843.55,225.849,96.8791,495.618,1013.38,86.9536,6080.01,159.409,216.404,169.461,201.227,200.748,121.074,300.83,306.146,125.923,549.525,88.0914,86.4527,139.726,73.431,34.3209,25.2495,69.1989,460.238,190.817,95.6399,43.002,35.2805,89.8984,296.988,42.6094,74.5872,244.122
2023-09-14,117.287,66.5386,238.721,39.2902,156.368,134.971,128.738,198.822,195.29,165.485,121.604,97.1189,204.716,232.508,59.3343,117.321,4906.59,227.481,97.7107,502.298,1024.76,88.0156,6109.57,161.359,217.947,171.382,204.475,203.223,121.939,303.66,306.968,126.191,550.883,88.3028,86.56,139.901,73.6454,34.4242,25.2812,69.3382,461.592,191.026,95.8106,43.0957,35.3465,89.9906,297.556,42.7726,74.83,244.429
2023-09-13,115.808,65.962,235.677,38.8564,154.867,133.495,128.417,196.334,193.942,162.212,120.427,96.2292,202.748,230.93,59.0979,116.032,4890.83,225.128,96.8791,497.526,1020.49,87.6174,6050.44,159.943,215.787,170.316,203.753,201.461,120.661,300.533,307.516,126.497,550.792,88.4085,86.6672,140.33,73.7176,34.4587,25.3128,69.4774,462.241,191.446,95.9361,43.1445,35.4207,90.0827,297.981,42.7666,75.0907,244.802
2023-09-12,116.325,66.2695,237.164,39.09,155.725,133.731,128.876,197.178,194.432,164.066,121.263,96.7767,203.951,231.415,59.3343,116.565,4927.6,225.379,96.6019,498.322,1022.2,87.4183,6080.01,159.755,215.633,170.006,203.182,201.214,120.511,301.128,306.968,126.331,550.711,88.3028,86.6672,140.09,73.628,34.4164,25.2812,69.4078,461.487,191.236,95.8565,43.1408,35.3773,90.0722,297.698,42.7606,75.0815,244.362
2023-09-11,115.734,66.4233,237.376,39.0066,156.368,134.144,129.586,198.316,196.026,164.123,121.484,97.0847,203.513,233.358,59.6888,116.61,4964.38,225.787,97.2949,501.503,1029.88,87.8165,6070.15,160.667,216.327,171.275,205.317,202.355,120.623,301.575,306.694,126.159,550.626,88.1971,86.56,139.853,73.6192,34.3741,25.2812,69.3382,461.083,191.026,95.7769,43.0846,35.3338,89.9591,297.414,42.7525,74.855,244.329
2023-09-10,115.512,66.308,237.164,38.9899,155.939,133.731,128.876,198.19,194.432,164.037,120.956,96.982,202.201,231.415,59.2161,116.476,4943.36,224.908,96.7405,500.389,1024.76,87.2855,6060.3,159.598,215.864,170.373,203.844,201.007,120.398,299.937,307.242,126.388,550.546,88.3028,86.6672,140.06,73.6914,34.4085,25.2812,69.4078,461.63,191.236,95.9024,43.1334,35.4082,90.1289,297.84,42.7455,75.1718,244.703
2023-09-09,115.512,66.308,237.164,38.9899,155.939,133.731,128.876,198.19,194.432,164.037,120.956,96.982,202.201,231.415,59.2161,116.476,4943.36,224.908,96.7405,500.389,1024.76,87.2855,6060.3,159.598,215.864,170.373,203.844,201.007,120.398,299.937,307.242,126.388,550.546,88.3028,86.6672,140.06,73.6914,34.4085,25.2812,69.4078,461.63,191.236,95.9024,43.1334,35.4082,90.1289,297.84,42.7455,75.1718,244.703
2023-09-08,115.512,66.308,237.164,38.9899,155.939,133.731,128.876,198.19,194.432,164.037,120.956,96.982,202.201,231.415,59.2161,116.476,4943.36,224.908,96.7405,500.389,1024.76,87.2855,6060.3,159.598,215.864,170.373,203.844,201.007,120.398,299.937,307.242,126.388,550.546,88.3028,86.6672,140.06,73.6914,34.4085,25.2812,69.4078,461.63,191.236,95.9024,43.1334,35.4082,90.1289,297.84,42.7455,75.1718,244.703
2023-09-07,115.586,66.4617,238.155,38.9231,156.583,134.085,129.517,199.033,195.658,163.834,121.024,96.982,201.435,232.994,59.3343,116.387,4969.63,225.755,96.7405,500.23,1025.89,87.3519,6040.59,159.377,215.324,170.457,204.205,200.709,120.06,299.49,306.968,126.26,550.304,88.2499,86.56,140.011,73.5813,34.397,25.2495,69.3382,461.226,191.026,95.8002,43.0699,35.3566,90.0156,297.414,42.7276,74.8725,244.196
